Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28111760,MALARIA_RDT_POS,COUNTRY,BEN,YEAR,2018,,,,,,,,,1 717 293,1717293,,,,2022-02-10T07:52:00Z,2018,2018-01-01,2018-12-31
28111761,MALARIA_RDT_POS,COUNTRY,BEN,YEAR,2019,,,,,,,,,2 601 360,2601360,,,,2022-02-10T07:52:00Z,2019,2019-01-01,2019-12-31
28111762,MALARIA_RDT_POS,COUNTRY,BEN,YEAR,2020,,,,,,,,,2 273 685,2273685,,,,2022-02-10T07:52:00Z,2020,2020-01-01,2020-12-31
28111763,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2010,,,,,,,,,715 999,715999,,,,2022-02-10T07:52:00Z,2010,2010-01-01,2010-12-31
28111764,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2011,,,,,,,,,344 256,344256,,,,2022-02-10T07:52:00Z,2011,2011-01-01,2011-12-31
28111765,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2012,,,,,,,,,3 767 957,3767957,,,,2022-02-10T07:52:00Z,2012,2012-01-01,2012-12-31
28111766,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2013,,,,,,,,,3 686 176,3686176,,,,2022-02-10T07:52:00Z,2013,2013-01-01,2013-12-31
28111767,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2014,,,,,,,,,5 345 396,5345396,,,,2022-02-10T07:52:00Z,2014,2014-01-01,2014-12-31
28111768,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2015,,,,,,,,,6 922 857,6922857,,,,2022-02-10T07:52:00Z,2015,2015-01-01,2015-12-31
28111769,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2016,,,,,,,,,9 699 334,9699334,,,,2022-02-10T07:52:00Z,2016,2016-01-01,2016-12-31
28111770,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2017,,,,,,,,,10 510 849,10510849,,,,2022-02-10T07:52:00Z,2017,2017-01-01,2017-12-31
