Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28116364,MALARIA_MICR_POS,COUNTRY,BEN,YEAR,2019,,,,,,,,,294 518,294518,,,,2022-02-10T08:24:47Z,2019,2019-01-01,2019-12-31
28116365,MALARIA_MICR_POS,COUNTRY,BEN,YEAR,2020,,,,,,,,,242 780,242780,,,,2022-02-10T08:24:47Z,2020,2020-01-01,2020-12-31
28116366,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2010,,,,,,,,,88 540,88540,,,,2022-02-10T08:24:47Z,2010,2010-01-01,2010-12-31
28116367,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2011,,,,,,,,,83 857,83857,,,,2022-02-10T08:24:47Z,2011,2011-01-01,2011-12-31
28116368,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2012,,,,,,,,,90 089,90089,,,,2022-02-10T08:24:47Z,2012,2012-01-01,2012-12-31
28116369,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2013,,,,,,,,,82 875,82875,,,,2022-02-10T08:24:47Z,2013,2013-01-01,2013-12-31
28116370,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2014,,,,,,,,,83 259,83259,,,,2022-02-10T08:24:47Z,2014,2014-01-01,2014-12-31
28116371,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2015,,,,,,,,,92 589,92589,,,,2022-02-10T08:24:47Z,2015,2015-01-01,2015-12-31
28116372,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2016,,,,,,,,,80 077,80077,,,,2022-02-10T08:24:47Z,2016,2016-01-01,2016-12-31
28116373,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2017,,,,,,,,,46 411,46411,,,,2022-02-10T08:24:47Z,2017,2017-01-01,2017-12-31
28116374,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2018,,,,,,,,,56 989,56989,,,,2022-02-10T08:24:47Z,2018,2018-01-01,2018-12-31
28116375,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2019,,,,,,,,,52 582,52582,,,,2022-02-10T08:24:47Z,2019,2019-01-01,2019-12-31
28116376,MALARIA_MICR_POS,COUNTRY,BFA,YEAR,2020,,,,,,,,,81 017,81017,,,,2022-02-10T08:24:47Z,2020,2020-01-01,2020-12-31
28116377,MALARIA_MICR_POS,COUNTRY,BWA,YEAR,2010,,,,,,,,,1 046,1046,,,,2022-02-10T08:24:47Z,2010,2010-01-01,2010-12-31
28116378,MALARIA_MICR_POS,COUNTRY,BWA,YEAR,2011,,,,,,,,,432,432,,,,2022-02-10T08:24:47Z,2011,2011-01-01,2011-12-31
28116379,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2013,,,,,,,,,36 943,36943,,,,2022-02-10T08:24:47Z,2013,2013-01-01,2013-12-31
28116380,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2014,,,,,,,,,41 436,41436,,,,2022-02-10T08:24:47Z,2014,2014-01-01,2014-12-31
28116381,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2015,,,,,,,,,106 524,106524,,,,2022-02-10T08:24:47Z,2015,2015-01-01,2015-12-31
28116382,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2016,,,,,,,,,144 924,144924,,,,2022-02-10T08:24:47Z,2016,2016-01-01,2016-12-31
28116383,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2017,,,,,,,,,28 855,28855,,,,2022-02-10T08:24:47Z,2017,2017-01-01,2017-12-31
